concept,severity,db_column,import_csv_key,export_csv_key,static_docs_template_key,create_form_name,create_display_label,display_mode_label,edit_mode_label,edit_form_name,has_discrepancy,discrepancy_summary,final_csv_key,final_ui_label,final_form_name,action
Opportunity ID,Identity,business_id,opportunity_id,opportunity_id,opportunity_id,— (RecordBusinessId),Opportunity ID / business id chip,Opportunity ID chip,Opportunity ID chip,—,YES,"CSV uses opportunity_id; UI shows business_id; form does not post opportunity_id on create/edit",opportunity_id,Opportunity ID,business_id (read-only),Keep CSV key opportunity_id; UI label Opportunity ID; never expose numeric PK
External ref,Identity,external_ref,external_ref,external_ref,external_ref,—,—,—,—,—,YES,Present in import/export only; not in create/display/edit UI,external_ref,External ref,external_ref,Add to create/edit if needed for ops; else document as import/export-only
Opportunity name,Core,client_name,opportunity_name,opportunity_name,opportunity_name,client_name,Opportunity name,— (shown in page title / not in Client section),Opportunity name,client_name,YES,"CSV key opportunity_name vs form/DB client_name; display mode omits dedicated label in Client section",opportunity_name,Opportunity name,client_name,"Keep dual naming: CSV=opportunity_name (aliases client_name); UI label=Opportunity name; form name stays client_name"
Lead type,Core,lead_type,lead_type,lead_type,lead_type,lead_type,Lead type,— (hidden on workspace display),— (hidden; posted as hidden),lead_type,YES,Create shows Lead type; workspace edit/display hides it (hidden input on edit),lead_type,Lead type,lead_type,Align: show on create+edit+display OR drop from create if intentional workspace simplification
Sales role / Transaction,Core,sales_role,sales_role,sales_role,sales_role,sales_role,Sales Type,Transaction,Transaction,sales_role,YES,"Create label Sales Type vs workspace Transaction; CSV key sales_role",sales_role,Transaction,sales_role,Unify UI label to Transaction across create/edit/display; CSV stays sales_role
Legacy sales_type,Legacy,property_type (dup),sales_type,(exportHidden — not in live export),sales_type,—,—,—,—,—,YES,"Static docs template still includes sales_type; live export hides it; duplicates property_type/usage_type",— (remove),—,—,"Remove from static docs template; keep import alias only if needed for legacy files"
Legacy usage_type,Legacy,property_type (dup),usage_type,(exportHidden),usage_type,—,—,—,—,—,YES,Static template includes; live export hides; maps to same DB property_type,— (remove),—,—,Remove from static docs template
Status,Core,status,status,status,status,status,Status,Status (commercial header),Status (commercial header),status,NO,Consistent,status,Status,status,None
Company,Party,company_id,company_id,company_id,company_id,company_id,Company,Company,Company,company_id,NO,Consistent CSV+UI; lookup companion company_name_en,company_id,Company,company_id,None
Company name (lookup),Party,companies.company_name,company_name_en,company_name_en,company_name_en,— (resolved via select),—,Company (display name),—,—,NO,Import/export lookup-only; UI uses select label,company_name_en,Company name (EN),— (lookup),Keep as CSV lookup column
Assigned contact,Party,primary_contact_id,assigned_contact_id,assigned_contact_id,assigned_contact_id,primary_contact_id,Contact,Contact,Contact,primary_contact_id,YES,"CSV assigned_contact_id vs form primary_contact_id; UI label Contact is aligned",assigned_contact_id,Contact,primary_contact_id,"Keep: CSV=assigned_contact_id (aliases primary_contact_id); form=primary_contact_id; UI=Contact"
Assigned contact name (lookup),Party,contacts display name,assigned_contact_name,assigned_contact_name,assigned_contact_name,—,—,Contact (display name),—,—,NO,Lookup-only CSV,assigned_contact_name,Contact name,— (lookup),Keep
